document	claim label	claim text	method	relationship	drug1	drug2	precipitant	enzyme	evRelationship	participants	participants text	drug1 dose	drug1 formulation	drug1 duration	drug1 regimens	drug1 dose text	drug2 dose	drug2 formulation	drug2 duration	drug2 regimens	drug2 dose text	auc	auc type	auc direction	auc text	cmax	cmax type	cmax direction	cmax text	cl	cl type	cl direction	cl text	halflife	halflife type	halflife direction	halflife text	group randomization	parallel group design	id
http://localhost/PMC/PMC2764168.html	TPV/r_interact with_atorvastatin	TPV/r increased the dose-adjusted atorvastatin AUC0-∞ and Cmax by approximately ninefold (Table ​(Table2;2; Fig. ​Fig.33 and ​and4).4).	DDI clinical trial	interact with	TPV/r	atorvastatin	drug2		supports	23	Twenty-three subjects (11 men, 12 women) were recruited into this study.	500/200	Oral	14-21	BID	From days 14 to 21, subjects received TPV/r 500 mg/200 mg twice daily	10	Oral	1	SD	The steady-state PKs of tipranavir were assessed on day 19 after ingestion of TPV/r alone and on day 20 after administration of TPV/r 500 mg/200 mg twice daily plus a single dose of atorvastatin 10 mg,	9.36	Fold	Increase	Single-dose PK parameters of atorvastatin, orthohydroxy atorvastatin, and parahydroxy atorvastatin after administration of atorvastatin 40 mg alone and coadministration of atorvastatin 10 mg and steady-state TPV/r 500 mg/200 mg twice daily (n = ...	8.61	Fold	Increase	Single-dose PK parameters of atorvastatin, orthohydroxy atorvastatin, and parahydroxy atorvastatin after administration of atorvastatin 40 mg alone and coadministration of atorvastatin 10 mg and steady-state TPV/r 500 mg/200 mg twice daily (n = ...									no	no	AVcNNqKcpBj5Y0EX_mo6
http://localhost/PMC/PMC2764168.html	TPV/r_interact with_rosuvastatin	With TPV/r coadministration, the GM AUC for rosuvastatin was 38.6 ng·h/ml, a 37% increase compared with that of rosuvastatin alone (P = 0.0006) (Fig. ​(Fig.11 and ​and2).2).	DDI clinical trial	interact with	TPV/r	rosuvastatin	drug1		supports	29	Of the 29 subjects (5 women, 24 men), 16 evaluable subjects completed the study.	500/200	Oral	11	BID	Subjects received a single 10-mg dose of rosuvastatin on day 1, followed by tipranavir 500 mg-ritonavir 200 mg twice daily for 11 days (days 3 to 13), with a single 10-mg dose of rosuvastatin given on day 12	10	Oral	1	SD	Subjects received a single 10-mg dose of rosuvastatin on day 1, followed by tipranavir 500 mg-ritonavir 200 mg twice daily for 11 days (days 3 to 13), with a single 10-mg dose of rosuvastatin given on day 12	1.37	Fold	Increase	PK parameters of rosuvastatin alone or rosuvastatin plus TPV/ra	2.23	Fold	Increase	PK parameters of rosuvastatin alone or rosuvastatin plus TPV/ra	0.73	Fold	Decrease	PK parameters of rosuvastatin alone or rosuvastatin plus TPV/ra	2.29	Fold	Increase	PK parameters of rosuvastatin alone or rosuvastatin plus TPV/ra	no	no	AVcNcx_VpBj5Y0EX_mo9
http://localhost/PMC/PMC2686069.html	S-warfarin_interact with_ambrisentan	The concentration–time profiles of both warfarin enantiomers were virtually superimposable in the presence (day 13) or absence (day 1) of ambrisentan. Following multiple doses of ambrisentan, the observed mean AUC0–last values for R-and S-warfarin increased by 4.7% (GMR 104.7; 90% CI 101.7, 107.7) and 1.6% (101.6; 90% CI 98.4, 105.0), respectively, and mean Cmax values decreased for both enantiomers by 8.4% (91.6; 90% CI 86.2, 97.4) and 10.1% (93.0; 90% CI 90.8, 95.3), respectively (Table 1).	DDI clinical trial	interact with	S-warfarin	ambrisentan	drug2		refutes	22	In this open-label cross-over study, 22 healthy subjects received a single dose of racemic warfarin 25 mg alone and after 8 days of ambrisentan 10 mg once daily	25	Oral	1	SD	In this open-label cross-over study, 22 healthy subjects received a single dose of racemic warfarin 25 mg alone and after 8 days of ambrisentan 10 mg once daily	10	Oral	12	Daily	On days 5 to 16, subjects received a single daily dose of ambrisentan 10 mg (Gilead Sciences, Inc., formerly Myogen, Inc., Westminster, CO, USA).	unchanged			Effect of ambrisentan on R-and S-warfarin pharmacokinetics	89.9	Fold	Decrease	Effect of ambrisentan on R-and S-warfarin pharmacokinetics									no	no	AVcTGBIdpBj5Y0EX_mpN
http://localhost/PMC/PMC3769672.html	rivaroxaban_interact with_fluconazole	Co-administration with fluconazole significantly increased the primary pharmacokinetic parameters of rivaroxaban (Table 2, Figure 1E). Both the mean AUC and mean Cmax increased (by 42% [90% CI 29%, 56%] and 28% [90% CI 12%, 47%], respectively) in comparison with rivaroxaban alone.	DDI clinical trial	interact with	rivaroxaban	fluconazole	drug2		supports	14	A total of 14 subjects were enrolled into the study, with a mean age of 33.8 years (range 24-53 years) and a mean weight of 83.7 ± 9.4 kg	20	Oral	1	SD	In an open label, two way crossover study, subjects were randomized to receive a single dose of rivaroxaban 20 mg alone, or fluconazole 400 mg once daily given for 6 days, with a concomitant administration of 20 mg rivaroxaban given on day 5	400	Oral	6	Daily	In an open label, two way crossover study, subjects were randomized to receive a single dose of rivaroxaban 20 mg alone, or fluconazole 400 mg once daily given for 6 days, with a concomitant administration of 20 mg rivaroxaban given on day 5.	1.42	UNK	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	1.28	UNK	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	0.71	Fold	Decrease	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	unchanged			Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	yes	no	AVcEFW4npBj5Y0EX_moi
http://localhost/PMC/PMC3769672.html	rivaroxaban_interact with_clarithromycin	Co-administration with clarithromycin significantly increased the primary pharmacokinetic parameters of rivaroxaban (Table 2, Figure 1C). Both the mean AUC and Cmax were significantly increased, by 54% (90% CI 44%, 64%) and 40% (90% CI 30%, 52%), respectively, in comparison with rivaroxaban alone.	DDI clinical trial	interact with	rivaroxaban	clarithromycin	drug2		supports	16	A total of 16 subjects were enrolled into the study, with a mean age of 37.6 years (range 24-50 years) and a mean weight of 81.1 ± 12.0 kg.	10	Oral	1	SD	In a randomized, two way crossover study, subjects were randomized to receive a single dose of rivaroxaban 10 mg alone, or clarithromycin 500 mg twice daily for a period of 4 days under steady-state conditions,	500	Oral	4	BID	In a randomized, two way crossover study, subjects were randomized to receive a single dose of rivaroxaban 10 mg alone, or clarithromycin 500 mg twice daily for a period of 4 days under steady-state conditions,	1.54	UNK	Increase	Co-administration with clarithromycin significantly increased the primary pharmacokinetic parameters of rivaroxaban (Table 2, Figure 1C). Both the mean AUC and Cmax were significantly increased, by 54% (90% CI 44%, 64%) and 40% (90% CI 30%, 52%), respectively, in comparison with rivaroxaban alone.	1.4	UNK	Increase	Co-administration with clarithromycin significantly increased the primary pharmacokinetic parameters of rivaroxaban (Table 2, Figure 1C). Both the mean AUC and Cmax were significantly increased, by 54% (90% CI 44%, 64%) and 40% (90% CI 30%, 52%), respectively, in comparison with rivaroxaban alone.	0.65	UNK	Decrease	Co-administration with clarithromycin significantly increased the primary pharmacokinetic parameters of rivaroxaban (Table 2, Figure 1C). Both the mean AUC and Cmax were significantly increased, by 54% (90% CI 44%, 64%) and 40% (90% CI 30%, 52%), respectively, in comparison with rivaroxaban alone.	unchanged			Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	yes	no	AVcD7DjIpBj5Y0EX_mod
http://localhost/PMC/PMC3769672.html	rivaroxaban_interact with_erythromycin	Co-administration with steady-state erythromycin significantly increased the pharmacokinetics of rivaroxaban (Table 2, Figure 1D). The mean AUC and Cmax both significantly increased (by 34% [90% CI 23%, 46%] and 38% [90% CI 21%, 48%], respectively) compared with rivaroxaban alone.	DDI clinical trial	interact with	rivaroxaban	erythromycin	drug2		supports	16	A total of 16 subjects were enrolled into the study and were valid for the safety analysis.	10	Oral	1	SD	In an open label, two way crossover study, subjects were randomized to receive a single dose of rivaroxaban 10 mg alone, or erythromycin 500 mg three times daily given for 4 days, with a single 500 mg dose given on day 5 with rivaroxaban 10 mg.	500	Oral	4	TID	In an open label, two way crossover study, subjects were randomized to receive a single dose of rivaroxaban 10 mg alone, or erythromycin 500 mg three times daily given for 4 days, with a single 500 mg dose given on day 5 with rivaroxaban 10 mg.	1.34	UNK	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	1.38	UNK	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	0.75	Fold	Decrease	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	unchanged			Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	yes	no	AVcEBBvipBj5Y0EX_mof
http://localhost/PMC/PMC3769672.html	rivaroxaban_interact with_ritonavir	Steady-state ritonavir significantly increased the AUC and Cmax of rivaroxaban. The mean AUC increased by 153% (90% CI 134%, 174%) and the mean Cmax increased by 55% (90% CI 41%, 69%) compared with rivaroxaban alone	DDI clinical trial	interact with	rivaroxaban	ritonavir	drug2		supports	18	Eighteen subjects were enrolled in the study.	10	Oral	1	SD	Subjects received a single dose of rivaroxaban 10 mg on day 1, ritonavir 600 mg twice daily on days 3-7	600	Oral	5	BID	Subjects received a single dose of rivaroxaban 10 mg on day 1, ritonavir 600 mg twice daily on days 3-7	2.53	Fold	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	1.55	UNK	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	0.39	Fold	Decrease	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	unchanged			Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	no	no	AVcDqafxpBj5Y0EX_moa
http://localhost/PMC/PMC3769672.html	rivaroxaban_interact with_ketoconazole	Co-administration with steady-state ketoconazole significantly increased the plasma concentrations of a single dose of rivaroxaban 10 mg compared with rivaroxaban alone. The mean AUC increased by 82% (90% CI 59%, 108%) and the mean Cmax increased by 53% (90% CI 27%, 85%).	DDI clinical trial	interact with	rivaroxaban	ketoconazole	drug2		supports	12	In the ketoconazole 200 mg study, 12 subjects were enrolled	10	Oral	1	SD	In this open label, two way crossover study, subjects were randomized to receive a single dose of rivaroxaban 10 mg, alone or with ketoconazole (4 days of oral ketoconazole 200 mg once daily with rivaroxaban given on day 4).	200	Oral	4	Daily	In this open label, two way crossover study, subjects were randomized to receive a single dose of rivaroxaban 10 mg, alone or with ketoconazole (4 days of oral ketoconazole 200 mg once daily with rivaroxaban given on day 4)	1.82	UNK	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	1.53	UNK	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	0.55	UNK	Decrease	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	unchanged			Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	yes	no	AVcDiI2-pBj5Y0EX_moZ
http://localhost/PMC/PMC3769672.html	rivaroxaban_interact with_ketoconazole	Co-administration with steady-state ketoconazole significantly increased the plasma concentrations of a single dose of rivaroxaban 10 mg compared with rivaroxaban alone. The mean AUC increased by 82% (90% CI 59%, 108%) and the mean Cmax increased by 53% (90% CI 27%, 85%).	DDI clinical trial	interact with	rivaroxaban	ketoconazole	drug2		supports	20	In the ketoconazole 400 mg study, a total of 20 subjects were enrolled	10	Oral	10	Daily	This was a non-randomized, open label study in which subjects received oral rivaroxaban 10 mg once daily alone for 5 days, with concomitant ketoconazole 400 mg once daily for a further 5 days.	400	Oral	5	Daily	This was a non-randomized, open label study in which subjects received oral rivaroxaban 10 mg once daily alone for 5 days, with concomitant ketoconazole 400 mg once daily for a further 5 days.	2.58	Fold	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	1.72	UNK	Increase	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	0.39	Fold	Decrease	Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	unchanged			Pharmacokinetic parameters of rivaroxaban (10 mg) administered alone or in combination with ketoconazole 200 mg once daily or 400 mg once daily, ritonavir 600 mg twice daily, clarithromycin 500 mg twice daily, erythromycin 500 mg three times daily or ...	no	no	AVcDiI2-pBj5Y0EX_moZ
http://localhost/PMC/PMC3769672.html	rivaroxaban_interact with_midazolam	Co-administration with rivaroxaban slightly decreased the mean AUC of midazolam by 11% compared with midazolam alone, but this was not statistically significant (90% CI −25%, 5%). The mean Cmax was virtually unaffected. Conversely, the mean AUC of α-hydroxy-midazolam remained almost the same with co-administration of rivaroxaban and midazolam compared with midazolam alone, but the mean Cmax was increased by 11%. This change was not statistically significant (90% CI −23%, 59%).	DDI clinical trial	interact with	rivaroxaban	midazolam	drug1		refutes	12	A total of 12 subjects were enrolled.	20	Oral	1	SD	In an open label, three way crossover study, subjects were randomized to receive a single dose of rivaroxaban 20 mg alone, a single dose of midazolam 7.5 mg alone or the combination.	7.5	Oral	1	SD	In an open label, three way crossover study, subjects were randomized to receive a single dose of rivaroxaban 20 mg alone, a single dose of midazolam 7.5 mg alone or the combination.	unchanged			Co-administration with rivaroxaban slightly decreased the mean AUC of midazolam by 11% compared with midazolam alone, but this was not statistically significant (90% CI −25%, 5%). The mean Cmax was virtually unaffected. Conversely, the mean AUC of α-hydroxy-midazolam remained almost the same with co-administration of rivaroxaban and midazolam compared with midazolam alone, but the mean Cmax was increased by 11%. This change was not statistically significant (90% CI −23%, 59%).	unchanged			Co-administration with rivaroxaban slightly decreased the mean AUC of midazolam by 11% compared with midazolam alone, but this was not statistically significant (90% CI −25%, 5%). The mean Cmax was virtually unaffected. Conversely, the mean AUC of α-hydroxy-midazolam remained almost the same with co-administration of rivaroxaban and midazolam compared with midazolam alone, but the mean Cmax was increased by 11%. This change was not statistically significant (90% CI −23%, 59%).					unchanged			The tmax and t1/2 of midazolam and its metabolite remained similar in the presence or absence of rivaroxaban.	yes	no	AVeWcDBZ7nsxUjLxakK9
http://localhost/PMC/PMC3769672.html	rivaroxaban_interact with_midazolam	Co-administration with midazolam led to an increase in rivaroxaban median tmax from 1.5 h to 4.0 h and slightly decreased the rivaroxaban mean Cmax by 12% compared with rivaroxaban alone, a change that was not statistically significant (90% CI −28%, 7%). Rivaroxaban mean AUC remained almost unchanged.	DDI clinical trial	interact with	rivaroxaban	midazolam	drug2		refutes	12	A total of 12 subjects were enrolled.	20	Oral	1	SD	In an open label, three way crossover study, subjects were randomized to receive a single dose of rivaroxaban 20 mg alone, a single dose of midazolam 7.5 mg alone or the combination.	7.5	Oral	1	SD	In an open label, three way crossover study, subjects were randomized to receive a single dose of rivaroxaban 20 mg alone, a single dose of midazolam 7.5 mg alone or the combination.	unchanged			Pharmacokinetic parameters of rivaroxaban administered alone or in combination with midazolam 7.5 mg (mean/CV [range]) and comparison of pharmacokinetic characteristics between treatments based on anova results	unchanged			Pharmacokinetic parameters of rivaroxaban administered alone or in combination with midazolam 7.5 mg (mean/CV [range]) and comparison of pharmacokinetic characteristics between treatments based on anova results					unchanged			The tmax and t1/2 of midazolam and its metabolite remained similar in the presence or absence of rivaroxaban.	yes	no	AVcDTLQ8pBj5Y0EX_moX
http://localhost/PMC/PMC3187007.html	telaprevir_interact with_atorvastatin	Upon the coadministration of telaprevir with a single dose of amlodipine-atorvastatin, the atorvastatin AUC0-∞ increased 7.88-fold and the atorvastatin Cmax increased 10.6-fold.	DDI clinical trial	interact with	telaprevir	atorvastatin	drug1		supports	21	Twenty-one healthy male (n = 15) and female (n = 6) volunteers were enrolled at the Covance Clinical Research Unit, Inc., Daytona Beach, FL.	20	Oral	16	Q8	Telaprevir (375-mg tablets, Patheon, Mississauga, Ontario, Canada) was administered at 750 mg q8h orally in the fed state (30 min after the start of a meal or snack).	20	Oral	1	SD	telaprevir in combination with Caduet tablets containing 5 mg of amlodipine and 20 mg of atorvastatin (amlodipine-atorvastatin). Volunteers received the following treatment: a single dose of amlodipine-atorvastatin alone on day 1, followed by a washout period,	7.88	Fold	Increase	Based on the ratio of the LS means, the mean Cmax and the AUC0-∞ were markedly increased 10.6-fold and 7.88-fold, respectively, by the coadministration of telaprevir (Table 1).	10.6	Fold	Increase	Based on the ratio of the LS means, the mean Cmax and the AUC0-∞ were markedly increased 10.6-fold and 7.88-fold, respectively, by the coadministration of telaprevir (Table 1).	87.8	Percent	Decrease	The mean apparent clearance (CL/F) decreased from 685 liters/h to 83.8 liters/h. The mean (SD) t1/2 decreased from 9.44 (2.64) h to 6.75 (1.55) h with telaprevir coadministration; the difference in t1/2 was not statistically significant.	28.5	Percent	Decrease	The mean apparent clearance (CL/F) decreased from 685 liters/h to 83.8 liters/h. The mean (SD) t1/2 decreased from 9.44 (2.64) h to 6.75 (1.55) h with telaprevir coadministration; the difference in t1/2 was not statistically significant.	no	no	AVb_K-qbpBj5Y0EX_moM
http://localhost/PMC/PMC3187007.html	telaprevir_interact with_amlodipine	Based on the ratio of the LS means, the mean Cmax and AUC0-∞ of amlodipine were increased 1.27-fold and 2.79-fold, respectively, by the coadministration of telaprevir (Table 1)	DDI clinical trial	interact with	telaprevir	amlodipine	drug1		supports	21	Twenty-one healthy male (n = 15) and female (n = 6) volunteers were enrolled at the Covance Clinical Research Unit, Inc., Daytona Beach, FL.	750	Oral	16	Q8	Telaprevir (375-mg tablets, Patheon, Mississauga, Ontario, Canada) was administered at 750 mg q8h orally in the fed state (30 min after the start of a meal or snack).	5	Oral	1	SD	telaprevir in combination with Caduet tablets containing 5 mg of amlodipine and 20 mg of atorvastatin (amlodipine-atorvastatin). Volunteers received the following treatment: a single dose of amlodipine-atorvastatin alone on day 1, followed by a washout period,	2.79	Fold	Increase	Based on the ratio of the LS means, the mean Cmax and AUC0-∞ of amlodipine were increased 1.27-fold and 2.79-fold, respectively, by the coadministration of telaprevir (Table 1)	1.27	Fold	Increase	Based on the ratio of the LS means, the mean Cmax and AUC0-∞ of amlodipine were increased 1.27-fold and 2.79-fold, respectively, by the coadministration of telaprevir (Table 1)	67.6	Percent	Decrease	The mean t1/2 of amlodipine increased from 41.3 h to 95.1 h, and the mean apparent clearance (CL/F) decreased from 38.0 liters/h to 12.3 liters/h.	2.3	Fold	Increase	The mean t1/2 of amlodipine increased from 41.3 h to 95.1 h, and the mean apparent clearance (CL/F) decreased from 38.0 liters/h to 12.3 liters/h.	no	no	AVb-7yoQpBj5Y0EX_moJ
http://localhost/PMC/PMC90851.html	Nelfinavir_interact with_simvastatin	Nelfinavir increased the steady-state area under the plasma concentration-time curve during one dosing period (AUCτ) of atorvastatin 74% and the maximum concentration (Cmax) of atorvastatin 122% and increased the AUCτ of simvastatin 505% and the Cmax of simvastatin 517%. Neither atorvastatin nor simvastatin appeared to alter the pharmacokinetics of nelfinavir.	DDI clinical trial	interact with	Nelfinavir	simvastatin	drug1		supports	32	The 32 enrolled subjects consisted of 12 Caucasians (six males and six females), 15 African Americans (eight males and seven females), and five Hispanics (two males and three females).	1250	Oral	14	BID	In period 2, subjects received simvastatin (20 mg QD) plus nelfinavir (1,250 mg BID) for an additional 14 days (days 15 to 28).	20	Oral	28	QD	In period 2, subjects received simvastatin (20 mg QD) plus nelfinavir (1,250 mg BID) for an additional 14 days (days 15 to 28).	6.05	Fold	Increase	Pharmacokinetic parameters of atorvastatin and simvastatin	6.17	Fold	Increase	Pharmacokinetic parameters of atorvastatin and simvastatin									no	yes	AVb-ZH-xpBj5Y0EX_moF
http://localhost/PMC/PMC90851.html	Nelfinavir_interact with_atorvastatin	Nelfinavir increased the steady-state area under the plasma concentration-time curve during one dosing period (AUCτ) of atorvastatin 74% and the maximum concentration (Cmax) of atorvastatin 122% and increased the AUCτ of simvastatin 505% and the Cmax of simvastatin 517%. Neither atorvastatin nor simvastatin appeared to alter the pharmacokinetics of nelfinavir.	DDI clinical trial	interact with	Nelfinavir	atorvastatin	drug1		supports	32	The 32 enrolled subjects consisted of 12 Caucasians (six males and six females), 15 African Americans (eight males and seven females), and five Hispanics (two males and three females).	1250	Oral	14	BID	In period 2, subjects received atorvastatin calcium (10 mg QD) plus nelfinavir (Viracept; 1,250 mg twice a day [BID]) for an additional 14 days (days 15 to 28).	10	Oral	28	QD	In period 2, subjects received atorvastatin calcium (10 mg QD) plus nelfinavir (Viracept; 1,250 mg twice a day [BID]) for an additional 14 days (days 15 to 28).	1.74	Fold	Increase	Pharmacokinetic parameters of atorvastatin and simvastatin	2.22	Fold	Increase	Pharmacokinetic parameters of atorvastatin and simvastatin									no	yes	AVb-NncspBj5Y0EX_moC
http://localhost/PMC/PMC1884190.html	ketoconazole_interact with_rosuvastatin	The geometric mean (gmean) plasma concentrations of rosuvastatin over time were similar when rosuvastatin was coadministered with ketoconazole and placebo (Figure 1).	DDI clinical trial	interact with	ketoconazole	rosuvastatin	drug1		refutes	14	Fourteen male Caucasian volunteers were enrolled	200	Oral	7	BID	Healthy male volunteers (n = 14) received ketoconazole 200 mg or placebo twice daily for 7 days, and rosuvastatin 80 mg was coadministered on day 4 of dosing.	80	Oral	1	SD	Healthy male volunteers (n = 14) received ketoconazole 200 mg or placebo twice daily for 7 days, and rosuvastatin 80 mg was coadministered on day 4 of dosing	unchanged			Summary pharmacokinetic parameters of rosuvastatin, and results of the statistical analysis of the plasma AUC(0,t) and Cmax of rosuvastatin, when coadministered with ketoconazole and placebo	unchanged			Summary pharmacokinetic parameters of rosuvastatin, and results of the statistical analysis of the plasma AUC(0,t) and Cmax of rosuvastatin, when coadministered with ketoconazole and placebo									yes		AVbqyTMgpBj5Y0EX_mn4
